,Language,Prediction
7744,Italian,Italian
9731,German,German
5516,Spanish,Spanish
7541,Italian,Italian
248,English,English
9915,German,German
6188,Russian,Russian
6556,Russian,Russian
2709,Portugeese,Portugeese
4633,Dutch,Dutch
971,English,English
2609,Portugeese,Portugeese
10224,Kannada,Kannada
5379,Spanish,Spanish
9127,Arabic,Arabic
5431,Spanish,Spanish
6210,Russian,Russian
3838,French,French
10137,Kannada,Kannada
447,English,English
7414,Italian,Italian
4024,French,French
5053,Spanish,Spanish
6865,Danish,Danish
9455,Arabic,Arabic
3428,French,French
8640,Sweedish,Sweedish
4807,Dutch,Dutch
461,English,English
3037,Portugeese,Portugeese
6803,Danish,Danish
6492,Russian,Russian
3905,French,French
1175,English,English
376,English,English
410,English,English
4467,Dutch,Dutch
3649,French,French
5564,Spanish,Spanish
6684,Russian,Russian
5937,Greek,Greek
10031,Kannada,Kannada
4950,Spanish,Spanish
10175,Kannada,Kannada
4174,French,French
2075,Tamil,Tamil
8748,Sweedish,Sweedish
274,English,English
6480,Russian,Russian
9197,Arabic,Arabic
9847,German,German
4704,Dutch,Dutch
4209,French,French
1496,Malayalam,Malayalam
4532,Dutch,Dutch
8968,Arabic,Arabic
1453,Malayalam,Malayalam
4071,French,French
5492,Spanish,Spanish
6851,Danish,Danish
467,English,English
3873,French,French
9330,Arabic,Arabic
4504,Dutch,Dutch
7591,Italian,Italian
10038,Kannada,Kannada
6387,Russian,Russian
513,English,English
9092,Arabic,Arabic
1880,Malayalam,Malayalam
2133,Tamil,Tamil
8100,Turkish,Turkish
921,English,English
6292,Russian,Russian
7533,Italian,Italian
1406,Malayalam,Malayalam
2114,Tamil,Tamil
474,English,English
8060,Turkish,Turkish
5071,Spanish,Spanish
4942,Spanish,Spanish
3707,French,French
4461,Dutch,Dutch
2855,Portugeese,Portugeese
5900,Greek,Greek
480,English,English
2239,Tamil,Tamil
4622,Dutch,Dutch
3918,French,French
9906,German,German
6259,Russian,Russian
5992,Greek,Greek
1877,Malayalam,Malayalam
8304,Sweedish,Sweedish
9520,German,German
4489,Dutch,Dutch
4828,Spanish,Spanish
4657,Dutch,German
1793,Malayalam,Malayalam
7572,Italian,Italian
7997,Turkish,Turkish
6120,Russian,Russian
8558,Sweedish,Sweedish
8200,Turkish,Turkish
9946,German,German
714,English,English
3123,Portugeese,Portugeese
5170,Spanish,Spanish
10281,Kannada,Kannada
8513,Sweedish,Sweedish
7275,Italian,Italian
8272,Turkish,Turkish
9016,Arabic,Arabic
9198,Arabic,Arabic
1020,English,English
705,English,English
2236,Tamil,Tamil
9655,German,German
2470,Tamil,Tamil
10221,Kannada,Kannada
4767,Dutch,Dutch
8370,Sweedish,Sweedish
908,English,English
8813,Sweedish,Danish
2960,Portugeese,Portugeese
4708,Dutch,Dutch
8235,Turkish,Turkish
4181,French,French
3026,Portugeese,Portugeese
4353,Dutch,Dutch
594,English,English
8063,Turkish,Turkish
440,English,English
8028,Turkish,Turkish
5328,Spanish,Spanish
4913,Spanish,Spanish
2919,Portugeese,Portugeese
6727,Danish,Danish
10,English,English
8951,Sweedish,Sweedish
4631,Dutch,Dutch
9955,German,German
7081,Danish,Danish
93,English,English
8770,Sweedish,Sweedish
9536,German,German
1807,Malayalam,Malayalam
7802,Italian,Italian
5235,Spanish,Spanish
7306,Italian,Italian
4147,French,French
292,English,English
788,English,English
5957,Greek,Greek
2595,Portugeese,Portugeese
6010,Russian,Russian
7382,Italian,Italian
9221,Arabic,Arabic
8124,Turkish,Turkish
10100,Kannada,Kannada
6307,Russian,Russian
1318,English,English
6576,Russian,Russian
4382,Dutch,Dutch
4870,Spanish,Spanish
5566,Spanish,Spanish
10336,Kannada,Kannada
3254,French,French
4881,Spanish,Spanish
4889,Spanish,Spanish
8635,Sweedish,Sweedish
4004,French,French
8791,Sweedish,Sweedish
4053,French,French
2907,Portugeese,Portugeese
7046,Danish,Danish
6507,Russian,Russian
7884,Turkish,Turkish
3422,French,French
3012,Portugeese,Portugeese
1825,Malayalam,Malayalam
1599,Malayalam,Malayalam
6557,Russian,Russian
2589,Portugeese,Portugeese
8652,Sweedish,Sweedish
4518,Dutch,Dutch
6724,Danish,Danish
3646,French,French
837,English,English
6057,Russian,Russian
8598,Sweedish,Sweedish
4081,French,French
5250,Spanish,Spanish
4110,French,French
7355,Italian,Italian
9707,German,Sweedish
2903,Portugeese,Portugeese
2889,Portugeese,Portugeese
4100,French,French
9591,German,German
1783,Malayalam,Malayalam
10296,Kannada,Kannada
157,English,English
1833,Malayalam,Malayalam
6220,Russian,Russian
6872,Danish,Danish
9830,German,German
1441,Malayalam,Malayalam
2574,Portugeese,Portugeese
1631,Malayalam,Malayalam
700,English,English
3685,French,French
6336,Russian,Russian
9179,Arabic,Arabic
9418,Arabic,Arabic
3815,French,French
8229,Turkish,Turkish
4502,Dutch,Dutch
4169,French,French
3467,French,French
2922,Portugeese,Portugeese
8454,Sweedish,Sweedish
5702,Greek,Greek
4903,Spanish,Spanish
5551,Spanish,Portugeese
6830,Danish,Danish
7866,Turkish,Turkish
7341,Italian,Italian
8254,Turkish,Turkish
2215,Tamil,Tamil
6051,Russian,Russian
3352,French,French
1402,Malayalam,Malayalam
2227,Tamil,Tamil
7791,Italian,Italian
3826,French,French
6423,Russian,Russian
3244,Portugeese,Portugeese
7903,Turkish,Turkish
9411,Arabic,Arabic
8167,Turkish,Turkish
2254,Tamil,Tamil
10245,Kannada,Kannada
603,English,English
8035,Turkish,Turkish
7054,Danish,Danish
393,English,English
6421,Russian,Russian
7508,Italian,Italian
6391,Russian,Russian
9510,German,German
95,English,English
9945,German,German
4184,French,French
4128,French,French
9014,Arabic,Arabic
9745,German,German
3295,French,French
5507,Spanish,Spanish
5221,Spanish,Spanish
8077,Turkish,Turkish
6073,Russian,Russian
7588,Italian,Italian
8351,Sweedish,Sweedish
7148,Italian,Italian
7601,Italian,Italian
7637,Italian,Italian
6398,Russian,Russian
7600,Italian,Italian
1634,Malayalam,Malayalam
6915,Danish,Danish
7565,Italian,Italian
2270,Tamil,Tamil
7173,Italian,Italian
8374,Sweedish,Sweedish
1355,English,English
8812,Sweedish,Sweedish
7273,Italian,Italian
3625,French,French
10335,Kannada,Kannada
5414,Spanish,Spanish
5316,Spanish,Spanish
7304,Italian,Italian
8431,Sweedish,Sweedish
4441,Dutch,Dutch
3107,Portugeese,Portugeese
7191,Italian,Italian
19,English,English
3833,French,French
7387,Italian,Italian
3686,French,French
5812,Greek,Greek
3111,Portugeese,Portugeese
6081,Russian,Russian
8469,Sweedish,Sweedish
7610,Italian,Italian
8278,Turkish,Turkish
5137,Spanish,Spanish
10134,Kannada,Kannada
5970,Greek,Greek
1261,English,English
4977,Spanish,Spanish
809,English,English
7865,Turkish,Turkish
5146,Spanish,Spanish
6927,Danish,Danish
2417,Tamil,Tamil
9195,Arabic,Arabic
6407,Russian,Russian
3457,French,French
7944,Turkish,Turkish
2678,Portugeese,Portugeese
1142,English,English
7038,Danish,Danish
6768,Danish,Danish
6618,Russian,Russian
9248,Arabic,Arabic
4262,French,French
3312,French,French
3853,French,French
7450,Italian,Italian
9845,German,German
2545,Portugeese,Portugeese
3105,Portugeese,Portugeese
4833,Spanish,Spanish
1710,Malayalam,Malayalam
9137,Arabic,Arabic
1626,Malayalam,Malayalam
7258,Italian,Italian
620,English,English
3110,Portugeese,Turkish
7435,Italian,Italian
9011,Arabic,Arabic
5033,Spanish,Spanish
3999,French,French
5128,Spanish,Spanish
1046,English,English
3282,French,French
7249,Italian,Italian
10326,Kannada,Kannada
1568,Malayalam,Malayalam
8178,Turkish,Turkish
743,English,English
222,English,English
6521,Russian,Russian
625,English,English
6018,Russian,Russian
3710,French,French
4919,Spanish,Spanish
7199,Italian,Italian
2874,Portugeese,Portugeese
6594,Russian,Russian
8137,Turkish,Turkish
4288,Dutch,Dutch
1315,English,English
8107,Turkish,Turkish
3448,French,French
2519,Portugeese,Portugeese
9751,German,German
353,English,English
9763,German,Dutch
456,English,English
6686,Danish,Danish
3668,French,French
239,English,English
3027,Portugeese,Portugeese
2425,Tamil,Tamil
8250,Turkish,Turkish
3703,French,French
2025,Hindi,Hindi
4983,Spanish,Spanish
9679,German,German
3351,French,French
3912,French,French
1018,English,English
10157,Kannada,Kannada
6639,Russian,Russian
1593,Malayalam,Malayalam
2110,Tamil,Tamil
6795,Danish,Danish
9072,Arabic,Arabic
8775,Sweedish,Sweedish
1103,English,English
8493,Sweedish,Sweedish
7688,Italian,Italian
2514,Portugeese,Portugeese
2150,Tamil,Tamil
7019,Danish,Sweedish
8536,Sweedish,Sweedish
5650,Greek,Greek
9402,Arabic,Arabic
4439,Dutch,Dutch
9973,Kannada,Kannada
9548,German,German
7416,Italian,Italian
9478,Arabic,Arabic
7981,Turkish,Turkish
9659,German,German
1383,English,English
9734,German,German
3944,French,French
217,English,English
7517,Italian,Italian
8149,Turkish,Turkish
9152,Arabic,Arabic
8701,Sweedish,Sweedish
4048,French,French
1034,English,English
216,English,English
3401,French,French
2676,Portugeese,Portugeese
2423,Tamil,Tamil
4264,Dutch,Dutch
906,English,English
4745,Dutch,Dutch
6700,Danish,Danish
6095,Russian,Russian
4898,Spanish,Spanish
10015,Kannada,Kannada
6213,Russian,Russian
8248,Turkish,Turkish
8019,Turkish,Turkish
4291,Dutch,Dutch
5171,Spanish,Spanish
3942,French,French
8354,Sweedish,Sweedish
9345,Arabic,Arabic
9543,German,German
3126,Portugeese,Portugeese
1835,Malayalam,Malayalam
852,English,English
5506,Spanish,Spanish
2316,Tamil,Tamil
8115,Turkish,Turkish
5464,Spanish,Spanish
3574,French,French
5302,Spanish,Spanish
5550,Spanish,Spanish
7966,Turkish,Turkish
5262,Spanish,Spanish
4634,Dutch,Dutch
7771,Italian,Italian
747,English,English
3928,French,French
1569,Malayalam,Malayalam
347,English,Turkish
3883,French,French
3307,French,French
2484,Tamil,Tamil
7465,Italian,Italian
3485,French,French
4553,Dutch,Dutch
5606,Spanish,Spanish
1886,Malayalam,Malayalam
5337,Spanish,Spanish
9008,Arabic,Arabic
6314,Russian,Russian
2684,Portugeese,Portugeese
3971,French,French
8317,Sweedish,Sweedish
5417,Spanish,Spanish
4394,Dutch,Dutch
9861,German,German
2328,Tamil,Tamil
763,English,English
2405,Tamil,Tamil
6968,Danish,Danish
8031,Turkish,Turkish
9302,Arabic,Arabic
3445,French,French
1486,Malayalam,Malayalam
1222,English,English
1954,Malayalam,Malayalam
4303,Dutch,Dutch
4638,Dutch,Dutch
6804,Danish,Danish
2340,Tamil,Tamil
4797,Dutch,Dutch
7524,Italian,Italian
6827,Danish,Danish
7692,Italian,Italian
4580,Dutch,Dutch
708,English,English
1575,Malayalam,Malayalam
509,English,English
6584,Russian,Russian
8085,Turkish,Turkish
8644,Sweedish,Sweedish
9640,German,German
9059,Arabic,Arabic
6859,Danish,Danish
6427,Russian,Russian
9983,Kannada,Kannada
7334,Italian,Italian
1259,English,English
7433,Italian,Italian
5022,Spanish,Spanish
8337,Sweedish,Sweedish
711,English,English
6964,Danish,Danish
9747,German,German
5205,Spanish,Spanish
4568,Dutch,Dutch
9015,Arabic,Arabic
1372,English,English
2826,Portugeese,Portugeese
712,English,English
7733,Italian,Italian
1245,English,English
4541,Dutch,Dutch
2886,Portugeese,Portugeese
5521,Spanish,Spanish
2020,Hindi,Hindi
715,English,English
2742,Portugeese,Portugeese
7477,Italian,Italian
1482,Malayalam,Malayalam
3021,Portugeese,Portugeese
9043,Arabic,Arabic
4121,French,French
9101,Arabic,Arabic
10206,Kannada,Kannada
4447,Dutch,Dutch
5638,Greek,Greek
1741,Malayalam,Malayalam
1658,Malayalam,Malayalam
212,English,English
3274,French,French
5809,Greek,Greek
4848,Spanish,Spanish
1010,English,English
323,English,English
4712,Dutch,Dutch
1097,English,English
9122,Arabic,Arabic
1562,Malayalam,Malayalam
8651,Sweedish,Sweedish
334,English,English
9370,Arabic,Arabic
2534,Portugeese,Portugeese
6200,Russian,Russian
9453,Arabic,Arabic
9826,German,German
1613,Malayalam,Malayalam
792,English,English
233,English,English
5350,Spanish,Spanish
6137,Russian,Russian
8387,Sweedish,Sweedish
5371,Spanish,Spanish
7661,Italian,Danish
6069,Russian,Russian
1957,Malayalam,Malayalam
2377,Tamil,Tamil
2030,Hindi,Hindi
4137,French,French
4387,Dutch,Dutch
8313,Sweedish,Sweedish
5517,Spanish,Spanish
6100,Russian,Russian
774,English,English
1494,Malayalam,Malayalam
5882,Greek,Greek
871,English,English
1891,Malayalam,Malayalam
1263,English,English
1618,Malayalam,Malayalam
9391,Arabic,Arabic
8034,Turkish,Turkish
8522,Sweedish,Sweedish
1758,Malayalam,Malayalam
5286,Spanish,Spanish
3673,French,French
1220,English,English
7566,Italian,Italian
1765,Malayalam,Malayalam
4392,Dutch,Dutch
408,English,English
2516,Portugeese,Portugeese
2018,Hindi,Hindi
1513,Malayalam,Malayalam
3501,French,French
4122,French,French
2968,Portugeese,Portugeese
3776,French,French
5081,Spanish,Spanish
9777,German,German
7134,Italian,Italian
7466,Italian,Italian
5034,Spanish,Spanish
3518,French,French
3060,Portugeese,Portugeese
9441,Arabic,Arabic
3434,French,French
3007,Portugeese,Portugeese
5709,Greek,Greek
4747,Dutch,Dutch
8898,Sweedish,Sweedish
6022,Russian,Russian
9235,Arabic,Arabic
3855,French,French
7598,Italian,Turkish
3441,French,French
7663,Italian,Italian
2067,Tamil,Tamil
9451,Arabic,Arabic
2167,Tamil,Tamil
1498,Malayalam,Malayalam
1479,Malayalam,Malayalam
3405,French,French
2724,Portugeese,Portugeese
8246,Turkish,Turkish
617,English,English
2554,Portugeese,Portugeese
4872,Spanish,Italian
4486,Dutch,Dutch
465,English,English
4921,Spanish,Spanish
5733,Greek,Greek
5095,Spanish,Spanish
4421,Dutch,English
2602,Portugeese,Portugeese
6017,Russian,Russian
8607,Sweedish,Sweedish
8350,Sweedish,Sweedish
745,English,English
5756,Greek,Greek
7453,Italian,Italian
710,English,English
379,English,English
9032,Arabic,Arabic
9481,Arabic,Arabic
9157,Arabic,Arabic
7675,Italian,Italian
6909,Danish,Danish
9903,German,German
4280,Dutch,Dutch
4908,Spanish,Spanish
2680,Portugeese,Portugeese
7889,Turkish,Turkish
9843,German,German
10162,Kannada,Kannada
8346,Sweedish,Sweedish
9911,German,German
3946,French,French
1313,English,English
8988,Arabic,Arabic
6181,Russian,Russian
5608,Spanish,Spanish
3677,French,French
5876,Greek,Greek
8309,Sweedish,Sweedish
1285,English,English
7100,Danish,Danish
5790,Greek,Greek
1349,English,English
2673,Portugeese,Portugeese
8506,Sweedish,Sweedish
4058,French,French
9041,Arabic,Arabic
427,English,English
653,English,English
8376,Sweedish,Sweedish
2088,Tamil,Tamil
8991,Arabic,Arabic
1964,Malayalam,Malayalam
7113,Danish,Danish
5689,Greek,Greek
7171,Italian,Italian
8589,Sweedish,Sweedish
3794,French,French
7747,Italian,Italian
7751,Italian,Spanish
7386,Italian,Italian
611,English,English
2029,Hindi,Hindi
3210,Portugeese,Portugeese
4961,Spanish,Spanish
2012,Hindi,Hindi
4407,Dutch,Dutch
7811,Italian,Italian
1118,English,English
554,English,English
3043,Portugeese,Portugeese
511,English,English
2304,Tamil,Tamil
7423,Italian,Italian
967,English,English
5928,Greek,Greek
2447,Tamil,Tamil
9305,Arabic,Arabic
7431,Italian,Italian
7277,Italian,Italian
3353,French,French
2165,Tamil,Tamil
9371,Arabic,Arabic
9732,German,German
5969,Greek,Greek
2189,Tamil,Tamil
2392,Tamil,Tamil
6739,Danish,Danish
8933,Sweedish,Sweedish
6740,Danish,Danish
4157,French,French
5748,Greek,Greek
5991,Greek,Greek
1109,English,English
6148,Russian,Russian
8412,Sweedish,Sweedish
1038,English,English
1194,English,English
8131,Turkish,Turkish
20,English,English
10009,Kannada,Kannada
8301,Sweedish,Sweedish
7257,Italian,Italian
6794,Danish,Danish
9276,Arabic,Arabic
2885,Portugeese,Portugeese
934,English,English
7480,Italian,Italian
4047,French,French
8860,Sweedish,Sweedish
5035,Spanish,Spanish
8525,Sweedish,Sweedish
394,English,English
8036,Turkish,Turkish
7108,Danish,Danish
1737,Malayalam,Malayalam
9473,Arabic,Arabic
8977,Arabic,Arabic
561,English,English
10275,Kannada,Kannada
2513,Portugeese,Portugeese
1297,English,English
5426,Spanish,Portugeese
1162,English,English
6252,Russian,Russian
1671,Malayalam,Malayalam
2664,Portugeese,Portugeese
3903,French,French
1527,Malayalam,Malayalam
5332,Spanish,Spanish
10046,Kannada,Kannada
3542,French,French
8818,Sweedish,Sweedish
58,English,English
4974,Spanish,Spanish
10187,Kannada,Kannada
4808,Dutch,Dutch
5466,Spanish,Spanish
4863,Spanish,Spanish
8414,Sweedish,Sweedish
7885,Turkish,Turkish
6472,Russian,Russian
2771,Portugeese,Portugeese
5851,Greek,Greek
8344,Sweedish,Sweedish
6384,Russian,Russian
5825,Greek,Greek
6162,Russian,Russian
462,English,English
676,English,English
5130,Spanish,Spanish
5121,Spanish,Spanish
414,English,English
7946,Turkish,Turkish
9857,German,German
3145,Portugeese,Portugeese
6962,Danish,Danish
10231,Kannada,Kannada
5766,Greek,Greek
4385,Dutch,Dutch
6858,Danish,Danish
9671,German,German
5983,Greek,Greek
4755,Dutch,Dutch
4367,Dutch,Dutch
7792,Italian,Italian
866,English,English
3678,French,French
7478,Italian,Italian
4902,Spanish,Spanish
4220,French,French
10018,Kannada,Kannada
1897,Malayalam,Malayalam
8095,Turkish,Turkish
10274,Kannada,Kannada
7089,Danish,Danish
8481,Sweedish,Sweedish
7522,Italian,Italian
1817,Malayalam,Malayalam
1937,Malayalam,Malayalam
4419,Dutch,Dutch
1726,Malayalam,Malayalam
1047,English,English
3753,French,French
4698,Dutch,Dutch
3187,Portugeese,Portugeese
766,English,English
1144,English,English
3059,Portugeese,Portugeese
8003,Turkish,Turkish
4534,Dutch,Dutch
5700,Greek,Greek
3799,French,French
5967,Greek,Greek
3570,French,French
7607,Italian,Italian
3080,Portugeese,Portugeese
828,English,English
6973,Danish,Danish
1672,Malayalam,Malayalam
7882,Turkish,Turkish
6167,Russian,Russian
2991,Portugeese,Portugeese
4344,Dutch,English
8811,Sweedish,Danish
2319,Tamil,Tamil
2045,Tamil,Tamil
6867,Danish,Danish
9220,Arabic,Arabic
4091,French,French
1295,English,English
8451,Sweedish,Sweedish
591,English,English
221,English,English
5865,Greek,Greek
8147,Turkish,Turkish
7659,Italian,Italian
858,English,English
3305,French,French
2995,Portugeese,Portugeese
9166,Arabic,Arabic
841,English,English
2157,Tamil,Tamil
2692,Portugeese,Portugeese
7801,Italian,Italian
994,English,English
3023,Portugeese,Portugeese
1554,Malayalam,Malayalam
10135,Kannada,Kannada
6203,Russian,Russian
4139,French,French
9319,Arabic,Arabic
5589,Spanish,Spanish
9962,German,German
7937,Turkish,Turkish
7261,Italian,Italian
4877,Spanish,Spanish
9462,Arabic,Arabic
3433,French,French
400,English,English
3061,Portugeese,Spanish
4194,French,French
3632,French,French
7666,Italian,Italian
6862,Danish,Danish
3755,French,French
59,English,English
4862,Spanish,Spanish
5615,Spanish,Spanish
3320,French,French
8593,Sweedish,English
1328,English,Italian
6630,Russian,Russian
2325,Tamil,Tamil
3533,French,French
3396,French,French
1550,Malayalam,Malayalam
1009,English,English
1612,Malayalam,Malayalam
5478,Spanish,Spanish
6281,Russian,Russian
648,English,English
879,English,English
7095,Danish,Danish
4645,Dutch,Dutch
3392,French,French
550,English,English
7381,Italian,Italian
6187,Russian,Russian
7579,Italian,Italian
4560,Dutch,Dutch
211,English,English
6086,Russian,Russian
8862,Sweedish,Sweedish
4176,French,French
1438,Malayalam,Malayalam
4880,Spanish,Spanish
696,English,English
6947,Danish,Danish
8177,Turkish,Turkish
1314,English,English
2498,Tamil,Tamil
5532,Spanish,Spanish
12,English,English
2335,Tamil,Tamil
6906,Danish,Danish
1346,English,English
8944,Sweedish,Sweedish
453,English,English
6037,Russian,Russian
9060,Arabic,Arabic
9559,German,German
9022,Arabic,Arabic
6958,Danish,Danish
37,English,English
8188,Turkish,Turkish
4825,Spanish,Spanish
940,English,English
6372,Russian,Russian
5804,Greek,Greek
3540,French,French
538,English,English
8610,Sweedish,Sweedish
3529,French,French
1400,Malayalam,Malayalam
7633,Italian,Italian
3288,French,French
8955,Sweedish,Sweedish
7602,Italian,Italian
7338,Italian,Italian
3100,Portugeese,Danish
5027,Spanish,Spanish
4332,Dutch,Dutch
4129,French,French
2453,Tamil,Tamil
7144,Italian,Italian
4343,Dutch,Dutch
6711,Danish,Danish
9970,Kannada,Kannada
10209,Kannada,Kannada
1739,Malayalam,Malayalam
3597,French,French
9989,Kannada,Kannada
3620,French,French
2474,Tamil,Tamil
8994,Arabic,Arabic
9071,Arabic,Arabic
3032,Portugeese,Portugeese
1563,Malayalam,Malayalam
4693,Dutch,Dutch
2348,Tamil,Tamil
6902,Danish,Danish
9725,German,German
9194,Arabic,Arabic
8214,Turkish,Turkish
9249,Arabic,Arabic
9584,German,German
5849,Greek,Greek
2388,Tamil,Tamil
7855,Turkish,Turkish
7170,Italian,Italian
2457,Tamil,Tamil
8972,Arabic,Arabic
7634,Italian,Italian
9524,German,German
2213,Tamil,Tamil
833,English,English
7914,Turkish,Turkish
8271,Turkish,Turkish
5060,Spanish,Spanish
8295,Sweedish,Sweedish
8288,Sweedish,Sweedish
8579,Sweedish,Sweedish
6221,Russian,Russian
3382,French,French
4700,Dutch,English
3034,Portugeese,Portugeese
8809,Sweedish,Sweedish
9791,German,German
4111,French,French
7708,Italian,Italian
5558,Spanish,Spanish
1197,English,English
6615,Russian,Russian
3400,French,French
7300,Italian,Italian
1429,Malayalam,Malayalam
6547,Russian,Russian
6967,Danish,Danish
1153,English,English
5125,Spanish,Spanish
7910,Turkish,Turkish
4924,Spanish,Spanish
3101,Portugeese,Portugeese
7375,Italian,Italian
964,English,English
5840,Greek,Greek
6390,Russian,Russian
2823,Portugeese,Portugeese
3463,French,French
1483,Malayalam,Malayalam
5140,Spanish,Spanish
9258,Arabic,Arabic
7131,Italian,Italian
1426,Malayalam,Malayalam
3884,French,French
2178,Tamil,Tamil
6030,Russian,Russian
5993,Greek,Greek
1057,English,English
6569,Russian,Russian
8803,Sweedish,Sweedish
3869,French,French
8270,Turkish,Turkish
3934,French,French
8307,Sweedish,Sweedish
1544,Malayalam,Malayalam
3207,Portugeese,Portugeese
6756,Danish,Danish
4040,French,French
724,English,English
10201,Kannada,Kannada
5898,Greek,Greek
1127,English,English
6597,Russian,Russian
7785,Italian,Italian
8156,Turkish,Turkish
3464,French,French
5206,Spanish,Spanish
3015,Portugeese,Portugeese
6861,Danish,Danish
1561,Malayalam,Malayalam
3522,French,French
4984,Spanish,Spanish
9589,German,German
6685,Russian,Russian
5899,Greek,Greek
4932,Spanish,Spanish
4574,Dutch,Dutch
10298,Kannada,Kannada
4099,French,French
5837,Greek,Greek
4165,French,French
7684,Italian,Italian
6889,Danish,Danish
8563,Sweedish,Sweedish
5522,Spanish,Spanish
9815,German,German
1392,Malayalam,Malayalam
752,English,English
5572,Spanish,Spanish
2996,Portugeese,Portugeese
9963,German,German
9855,German,German
17,English,English
1770,Malayalam,Malayalam
1888,Malayalam,Malayalam
1642,Malayalam,Malayalam
132,English,English
8727,Sweedish,Sweedish
7682,Italian,French
3535,French,French
8294,Sweedish,Sweedish
1095,English,English
4696,Dutch,Dutch
5227,Spanish,Spanish
527,English,English
8903,Sweedish,Sweedish
2002,Hindi,Hindi
6758,Danish,Danish
168,English,English
6338,Russian,Russian
1919,Malayalam,Malayalam
701,English,English
5044,Spanish,Spanish
4957,Spanish,Spanish
10075,Kannada,Kannada
10003,Kannada,Kannada
9834,German,German
5363,Spanish,Spanish
772,English,English
1298,English,English
4333,Dutch,Dutch
1352,English,English
7487,Italian,Italian
7928,Turkish,Turkish
1287,English,English
2406,Tamil,Tamil
10312,Kannada,Kannada
8016,Turkish,Turkish
4345,Dutch,Dutch
2013,Hindi,Hindi
3994,French,French
7923,Turkish,Turkish
4695,Dutch,Dutch
9356,Arabic,Arabic
3397,French,French
2147,Tamil,Tamil
5092,Spanish,French
7194,Italian,Italian
4185,French,French
449,English,English
9067,Arabic,Arabic
5427,Spanish,Spanish
7652,Italian,Italian
810,English,English
5617,Spanish,Spanish
6977,Danish,Danish
9577,German,German
4610,Dutch,Dutch
7529,Italian,Italian
6323,Russian,Russian
9526,German,German
6607,Russian,Russian
1477,Malayalam,Malayalam
1790,Malayalam,Malayalam
4689,Dutch,Dutch
2008,Hindi,Hindi
682,English,English
6438,Russian,Russian
9232,Arabic,Arabic
4224,French,French
57,English,English
2412,Tamil,Tamil
5169,Spanish,Spanish
9675,German,German
9495,Arabic,Arabic
46,English,English
30,English,English
4514,Dutch,Dutch
6169,Russian,Russian
1468,Malayalam,Malayalam
1665,Malayalam,Malayalam
1416,Malayalam,Malayalam
8694,Sweedish,Sweedish
2358,Tamil,Tamil
2751,Portugeese,Portugeese
8883,Sweedish,Sweedish
7770,Italian,Italian
3131,Portugeese,Portugeese
429,English,English
5641,Greek,Greek
8920,Sweedish,Sweedish
385,English,English
1945,Malayalam,Malayalam
6876,Danish,Danish
7847,Turkish,Turkish
473,English,English
5843,Greek,Greek
8825,Sweedish,Sweedish
4775,Dutch,Dutch
7044,Danish,English
7510,Italian,Italian
1055,English,English
2281,Tamil,Tamil
7986,Turkish,Turkish
9196,Arabic,Arabic
2818,Portugeese,Portugeese
6247,Russian,Russian
3886,French,French
811,English,English
9726,German,German
2930,Portugeese,Portugeese
5491,Spanish,Spanish
4826,Spanish,Spanish
6689,Danish,Danish
111,English,English
9209,Arabic,Arabic
3742,French,French
1745,Malayalam,Malayalam
4818,Spanish,Spanish
1452,Malayalam,Malayalam
2149,Tamil,Tamil
319,English,English
6730,Danish,Danish
10273,Kannada,Kannada
1922,Malayalam,Malayalam
6479,Russian,Russian
8092,Turkish,Turkish
6535,Russian,Russian
9307,Arabic,Arabic
3166,Portugeese,Portugeese
2129,Tamil,Tamil
6948,Danish,Danish
5815,Greek,Greek
6723,Danish,Danish
2753,Portugeese,Portugeese
8014,Turkish,Turkish
6921,Danish,Danish
7452,Italian,Italian
1052,English,English
4454,Dutch,Dutch
4267,Dutch,Dutch
99,English,English
8970,Arabic,Arabic
1456,Malayalam,Malayalam
361,English,English
812,English,English
1092,English,English
3952,French,French
7717,Italian,Italian
4230,French,French
4593,Dutch,Dutch
6620,Russian,Russian
9410,Arabic,Arabic
5422,Spanish,Spanish
1414,Malayalam,Malayalam
540,English,English
7412,Italian,Italian
4273,Dutch,Dutch
1146,English,English
3125,Portugeese,Portugeese
754,English,English
6464,Russian,Russian
8864,Sweedish,Sweedish
7248,Italian,Italian
9837,German,German
8487,Sweedish,Sweedish
7454,Italian,Italian
8122,Turkish,Turkish
3231,Portugeese,Portugeese
6062,Russian,Russian
10316,Kannada,Kannada
8765,Sweedish,Sweedish
5795,Greek,Greek
6408,Russian,Russian
4718,Dutch,Dutch
6226,Russian,Russian
601,English,English
5358,Spanish,Spanish
9219,Arabic,Arabic
7180,Italian,Italian
8735,Sweedish,Sweedish
4246,French,French
5331,Spanish,Spanish
5070,Spanish,Spanish
1044,English,English
8769,Sweedish,Sweedish
1557,Malayalam,Malayalam
4196,French,French
4077,French,French
9664,German,German
180,English,English
4564,Dutch,Dutch
2115,Tamil,Tamil
1699,Malayalam,Malayalam
1379,English,English
2737,Portugeese,Portugeese
4860,Spanish,Spanish
7755,Italian,Italian
9899,German,German
618,English,English
3006,Portugeese,Portugeese
10181,Kannada,Kannada
1600,Malayalam,Malayalam
6400,Russian,Russian
1615,Malayalam,Malayalam
6647,Russian,Russian
438,English,English
4281,Dutch,Dutch
2083,Tamil,Tamil
3773,French,French
